,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,7,"DQN_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,0,5,0.0,0.0,0.0009996891021728516,"[0, 3, 0, 3, 2, 1]",0,0
1,7,"DQN_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,1,10,0.0,0.0,0.0020606517791748047,"[0, 0, 2, 0, 0, 1, 3, 1, 0, 1, 1]",0,0
2,7,"DQN_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,2,6,0.0,0.0,0.000997781753540039,"[2, 0, 1, 0, 3, 1, 2]",0,0
3,7,"DQN_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,3,21,0.0,0.0,0.003999948501586914,"[0, 0, 1, 3, 3, 0, 2, 0, 2, 3, 0, 2, 2, 3, 0, 0, 1, 3, 0, 0, 2, 1]",0,0
4,7,"DQN_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,4,4,0.0,0.0,0.0010001659393310547,"[1, 3, 0, 2, 1]",0,0
5,7,"DQN_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,5,20,0.0,0.0,0.016167163848876953,"[1, 1, 0, 0, 3, 0, 0, 3, 0, 0, 0, 2, 3, 3, 2, 0, 0, 1, 0, 1, 1]",0,0
6,7,"DQN_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,6,7,0.0,0.0,0.01110386848449707,"[3, 2, 2, 1, 3, 3, 2, 1]",0,0
7,7,"DQN_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,7,12,0.0,0.0,0.017210960388183594,"[3, 0, 3, 0, 0, 2, 2, 0, 3, 3, 0, 2, 1]",0,0
8,7,"DQN_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,8,7,0.0,0.0,0.011119604110717773,"[0, 2, 2, 2, 3, 2, 3, 1]",0,0
9,7,"DQN_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,9,9,0.0,0.0,0.013108491897583008,"[1, 0, 0, 0, 3, 1, 0, 1, 3, 2]",0,0
10,7,"DQN_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,10,13,0.0,0.0,0.018211841583251953,"[2, 2, 2, 0, 0, 2, 3, 3, 1, 1, 3, 1, 0, 3]",0,0
