,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,3,0.0,0.0,1.1758134365081787,"[3, 0, 2, 1]",0.0,0.0
1,9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,3,0.0,0.0,0.5857748985290527,"[1, 3, 1, 2]",0.0,0.0
2,9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,7,0.0,0.0,2.1011574268341064,"[2, 2, 0, 3, 0, 1, 1, 1]",0.0,0.0
3,9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,6,0.0,0.0,0.004999399185180664,"[0, 3, 0, 3, 1, 0, 2]",0.0,0.0
4,9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,1,0.0,0.0,0.0010800361633300781,"[1, 2]",0.0,0.0
5,9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,1,0.0,0.0,0.0010006427764892578,"[1, 2]",0.0,0.0
6,9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,23,0.0,0.0,1.9915485382080078,"[3, 2, 2, 3, 1, 3, 2, 3, 0, 0, 0, 0, 0, 3, 1, 3, 2, 0, 2, 0, 2, 2, 2, 1]",0.0,0.0
7,9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,2,0.0,0.0,0.0019998550415039062,"[3, 2, 1]",0.0,0.0
8,9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,16,0.0,0.0,0.2761690616607666,"[3, 1, 0, 1, 0, 2, 0, 3, 3, 3, 3, 3, 0, 1, 1, 0, 1]",0.0,0.0
9,9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,10,0.0,0.0,0.004999637603759766,"[0, 1, 3, 1, 3, 3, 0, 2, 2, 1, 2]",0.0,0.0
10,9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,5,0.0,0.0,0.0030829906463623047,"[3, 1, 0, 3, 2, 1]",0.0,0.0
11,9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,3,0.0,0.0,0.0020008087158203125,"[1, 3, 1, 2]",0.0,0.0
