,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,2,0.0,0.0,0.002002239227294922,"[1, 0, 2]",0.0,0.0
1,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,11,0.0,0.0,0.0050547122955322266,"[2, 0, 3, 0, 3, 2, 3, 3, 3, 2, 2, 1]",0.0,0.0
2,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,10,0.0,0.0,0.004999637603759766,"[0, 3, 2, 3, 3, 2, 3, 0, 2, 1, 0]",0.0,0.0
3,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,4,0.0,0.0,0.0020003318786621094,"[0, 1, 1, 2, 3]",0.0,0.0
4,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,3,0.0,0.0,0.0020685195922851562,"[1, 3, 2, 1]",0.0,0.0
5,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,5,0.0,0.0,0.002999544143676758,"[0, 3, 1, 1, 0, 1]",0.0,0.0
6,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,11,0.0,0.0,0.006062507629394531,"[2, 0, 0, 0, 1, 0, 1, 3, 1, 3, 0, 2]",0.0,0.0
7,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,19,0.0,0.0,0.009002208709716797,"[1, 0, 3, 2, 2, 3, 1, 1, 1, 3, 0, 1, 3, 0, 0, 3, 3, 3, 2, 1]",0.0,0.0
8,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,7,0.0,0.0,0.0040662288665771484,"[2, 3, 3, 0, 2, 2, 0, 1]",0.0,0.0
9,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,4,0.0,0.0,0.0020024776458740234,"[2, 3, 2, 1, 2]",0.0,0.0
10,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,3,0.0,0.0,0.0019979476928710938,"[1, 0, 1, 1]",0.0,0.0
11,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,5,0.0,0.0,0.003066539764404297,"[0, 2, 2, 3, 1, 2]",0.0,0.0
12,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,4,0.0,0.0,0.0020020008087158203,"[0, 3, 2, 3, 1]",0.0,0.0
13,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,13,5,0.0,0.0,0.003000497817993164,"[1, 0, 0, 3, 2, 1]",0.0,0.0
14,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,14,4,0.0,0.0,0.0029997825622558594,"[0, 3, 3, 2, 1]",0.0,0.0
15,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,15,5,0.0,0.0,0.0030601024627685547,"[1, 3, 2, 2, 2, 1]",0.0,0.0
16,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,16,3,0.0,0.0,0.001999378204345703,"[2, 0, 1, 2]",0.0,0.0
17,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,17,15,0.0,0.0,0.007054567337036133,"[3, 3, 0, 1, 3, 1, 3, 1, 1, 2, 2, 1, 1, 1, 0, 0]",0.0,0.0
18,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,18,5,0.0,0.0,0.0030024051666259766,"[1, 3, 1, 3, 1, 2]",0.0,0.0
19,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,19,3,0.0,0.0,0.002000093460083008,"[1, 1, 2, 3]",0.0,0.0
20,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,20,11,0.0,0.0,0.006066799163818359,"[3, 0, 0, 1, 0, 1, 3, 0, 3, 0, 2, 1]",0.0,0.0
21,"Qlearntab_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,21,4,0.0,0.0,0.002001047134399414,"[2, 2, 2, 2, 1]",0.0,0.0
