,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,9,0.0,0.0,0.0010008811950683594,"[3, 1, 3, 2, 0, 0, 3, 1, 0, 2]",0.0,0.0
1,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,10,0.0,0.0,0.0,"[1, 1, 3, 3, 3, 2, 2, 2, 2, 3, 1]",0.0,0.0
2,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,7,0.0,0.0,0.0,"[0, 0, 2, 0, 3, 1, 1, 1]",0.0,0.0
3,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,4,0.0,0.0,0.0,"[3, 0, 0, 1, 2]",0.0,0.0
4,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,3,0.0,0.0,0.0009992122650146484,"[3, 3, 2, 1]",0.0,0.0
5,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,1,0.0,0.0,0.0,"[1, 2]",0.0,0.0
6,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,8,0.0,0.0,0.0,"[0, 0, 0, 1, 0, 3, 2, 3, 1]",0.0,0.0
7,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,10,0.0,0.0,0.0,"[3, 3, 1, 0, 1, 0, 2, 2, 0, 1, 0]",0.0,0.0
8,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,13,0.0,0.0,0.0010607242584228516,"[2, 0, 3, 2, 3, 0, 2, 0, 3, 2, 3, 0, 1, 2]",0.0,0.0
9,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,3,0.0,0.0,0.0,"[3, 0, 1, 2]",0.0,0.0
