,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,5,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,5,0.0,0.0,0.0,"[0, 3, 2, 2, 1, 0]",0.0,0.0
1,5,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,2,0.0,0.0,0.0,"[1, 1, 1]",0.0,0.0
2,5,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,8,0.0,0.0,0.0,"[3, 0, 2, 0, 3, 0, 3, 2, 1]",0.0,0.0
3,5,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,4,0.0,0.0,0.0010030269622802734,"[1, 0, 3, 1, 2]",0.0,0.0
4,5,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,2,0.0,0.0,0.0,"[2, 3, 1]",0.0,0.0
5,5,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,8,0.0,0.0,0.0,"[0, 3, 2, 3, 2, 2, 3, 2, 1]",0.0,0.0
6,5,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,5,0.0,0.0,0.0,"[0, 0, 1, 3, 1, 2]",0.0,0.0
7,5,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,3,0.0,0.0,0.0,"[1, 1, 3, 2]",0.0,0.0
8,5,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,8,1.0,1.0,0.00099945068359375,"[3, 3, 1, 1, 0, 2, 2, 1, 2]",0.05,0.05
9,5,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,3,0.0,1.0,0.0,"[1, 1, 3, 2]",0.05,0.05
10,5,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,3,0.0,1.0,0.0,"[0, 2, 3, 1]",0.05,0.05
11,5,"Qlearntab_numeric_encoder_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,3,0.0,1.0,0.0,"[1, 1, 0, 1]",0.05,0.05
