,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DQN_LLM__training_results,10,0,,,0.0,0.0,2.0488845109939575
1,DQN_LLM__training_results,10,1,0.0,0.0,0.0,0.0,0.5373835563659668
2,DQN_LLM__training_results,10,2,0.0,0.0,0.0,0.0,1.239806056022644
3,DQN_LLM__training_results,10,3,0.0,0.0,0.0,0.0,0.2384940385818481
4,DQN_LLM__training_results,10,4,0.0,0.0,0.0,0.0,0.0015007257461547002
5,DQN_LLM__training_results,10,5,0.0,0.0,0.0,0.0,0.305898904800415
6,DQN_LLM__training_results,10,6,0.0,0.0,0.0,0.0,0.0055333375930786
7,DQN_LLM__training_results,10,7,0.0,0.0,0.1,0.09999999999999999,0.0025553703308105
8,DQN_LLM__training_results,10,8,0.0125,0.012499999999999999,0.1,0.09999999999999999,0.0172227621078491
9,DQN_LLM__training_results,10,9,0.01111111111111111,0.011111111111111112,0.1,0.09999999999999999,0.0080490112304687
10,DQN_LLM__training_results,10,10,0.01,0.009999999999999998,0.1,0.09999999999999999,0.008602499961853
11,DQN_LLM__training_results,10,11,0.00909090909090909,0.009090909090909089,0.1,0.09999999999999999,0.01213502883911125
12,DQN_LLM__training_results,10,12,0.008333333333333333,0.008333333333333331,0.1,0.09999999999999999,0.0070303678512573
13,DQN_LLM__training_results,10,13,0.007692307692307693,0.007692307692307692,0.1,0.09999999999999999,0.009099721908569301
14,DQN_LLM__training_results,10,14,0.007142857142857143,0.007142857142857141,0.1,0.09999999999999999,0.0211560726165771
15,DQN_LLM__training_results,10,15,0.006666666666666666,0.006666666666666665,0.3,0.21343747458109494,0.013123869895935
16,DQN_LLM__training_results,10,16,0.01875,0.013339842161318434,0.5,0.22360679774997896,0.014638781547546349
17,DQN_LLM__training_results,10,17,0.029411764705882353,0.013153341044116407,0.5,0.22360679774997896,0.0085874795913696
18,DQN_LLM__training_results,10,18,0.02777777777777778,0.01242259987499883,0.5,0.22360679774997896,0.0040380954742431
19,DQN_LLM__training_results,10,19,0.02631578947368421,0.01176877882894626,0.5,0.22360679774997896,0.007037878036499001
20,DQN_LLM__training_results,10,20,0.025,0.01118033988749895,0.5,0.22360679774997896,0.00503492355346675
21,DQN_LLM__training_results,10,21,0.023809523809523808,0.010647942749998997,0.5,0.22360679774997896,0.013093113899230902
22,DQN_LLM__training_results,10,22,0.022727272727272728,0.010163945352271771,0.5,0.22360679774997896,0.009089946746826151
23,DQN_LLM__training_results,10,23,0.021739130434782608,0.009722034684781694,0.5,0.22360679774997896,0.0131250619888305
24,DQN_LLM__training_results,10,24,0.020833333333333332,0.009316949906249122,0.7,0.2603416558635551,0.00955009460449215
25,DQN_LLM__training_results,10,25,0.028000000000000004,0.010413666234542204,0.7,0.2603416558635551,0.0085474252700805
26,DQN_LLM__training_results,10,26,0.026923076923076928,0.010013140610136737,0.9,0.348010216963685,0.005545139312744101
27,DQN_LLM__training_results,10,27,0.03333333333333333,0.012889267294951295,1.0,0.3944053188733077,0.00754165649414055
28,DQN_LLM__training_results,10,28,0.03571428571428571,0.014085904245475275,1.1,0.43333333333333335,0.00605094432830805
29,DQN_LLM__training_results,10,29,0.03793103448275862,0.014942528735632182,1.1,0.43333333333333335,0.00958859920501705
