,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DQN_language__training_results,10,0,,,0.0,0.0,0.0009996891021728
1,DQN_language__training_results,10,1,0.0,0.0,0.0,0.0,0.0009996891021728
2,DQN_language__training_results,10,2,0.0,0.0,0.2,0.13333333333333333,0.00106012821197505
3,DQN_language__training_results,10,3,0.06666666666666667,0.044444444444444446,0.2,0.13333333333333333,0.0010391473770140999
4,DQN_language__training_results,10,4,0.05,0.03333333333333333,0.3,0.15275252316519464,0.0009999275207519
5,DQN_language__training_results,10,5,0.06000000000000001,0.030550504633038936,0.3,0.15275252316519464,0.001500129699707
6,DQN_language__training_results,10,6,0.05,0.025458753860865775,0.3,0.15275252316519464,0.00150072574615475
7,DQN_language__training_results,10,7,0.04285714285714286,0.02182178902359924,0.3,0.15275252316519464,0.0025711059570312
8,DQN_language__training_results,10,8,0.0375,0.01909406539564933,0.3,0.15275252316519464,0.008553743362426699
9,DQN_language__training_results,10,9,0.03333333333333333,0.016972502573910517,0.3,0.15275252316519464,0.0050536394119262504
10,DQN_language__training_results,10,10,0.030000000000000006,0.015275252316519468,0.3,0.15275252316519464,0.00606894493103025
11,DQN_language__training_results,10,11,0.02727272727272727,0.013886593015017695,0.3,0.15275252316519464,0.0040549039840698
12,DQN_language__training_results,10,12,0.025,0.012729376930432888,0.4,0.16329931618554522,0.011576771736145
13,DQN_language__training_results,10,13,0.03076923076923077,0.012561485860426554,0.4,0.16329931618554522,0.00805878639221185
14,DQN_language__training_results,10,14,0.02857142857142857,0.011664236870396085,0.4,0.16329931618554522,0.01008510589599605
15,DQN_language__training_results,10,15,0.026666666666666665,0.010886621079036346,0.5,0.16666666666666666,0.0100946426391601
16,DQN_language__training_results,10,16,0.03125,0.010416666666666666,0.5,0.16666666666666666,0.0090004205703735
17,DQN_language__training_results,10,17,0.029411764705882353,0.00980392156862745,0.5,0.16666666666666666,0.01710700988769525
18,DQN_language__training_results,10,18,0.02777777777777778,0.009259259259259259,0.6,0.22110831935702666,0.0161044597625732
19,DQN_language__training_results,10,19,0.031578947368421054,0.011637279966159295,0.7,0.2603416558635551,0.00958597660064695
20,DQN_language__training_results,10,20,0.034999999999999996,0.013017082793177755,0.8,0.29059326290271154,0.0080667734146118
21,DQN_language__training_results,10,21,0.03809523809523809,0.013837774423938645,0.8,0.29059326290271154,0.01115822792053215
22,DQN_language__training_results,10,22,0.03636363636363636,0.013208784677395979,1.0,0.3944053188733077,0.012580871582031201
23,DQN_language__training_results,10,23,0.04347826086956521,0.017148057342317724,1.0,0.3944053188733077,0.0050013065338134505
24,DQN_language__training_results,10,24,0.04166666666666667,0.01643355495305449,1.1,0.458257569495584,0.01570296287536615
25,DQN_language__training_results,10,25,0.044,0.01833030277982336,1.2,0.44221663871405326,0.0156056880950927
26,DQN_language__training_results,10,26,0.046153846153846156,0.01700833225823282,1.5,0.47726070210921173,0.0135679244995117
27,DQN_language__training_results,10,27,0.05555555555555556,0.017676322300341173,1.5,0.47726070210921173,0.014169692993164
28,DQN_language__training_results,10,28,0.05357142857142857,0.01704502507532899,1.6,0.5206833117271102,0.01916003227233885
29,DQN_language__training_results,10,29,0.05517241379310345,0.017954596956107252,1.8,0.6289320754704403,0.0121489763259887
30,DQN_language__training_results,10,30,0.06,0.020964402515681338,1.8,0.6289320754704403,0.0201435089111328
31,DQN_language__training_results,10,31,0.058064516129032254,0.020288131466788394,1.8,0.6289320754704403,0.00758576393127435
32,DQN_language__training_results,10,32,0.05625,0.01965412735845126,2.0,0.6666666666666666,0.009062290191650349
33,DQN_language__training_results,10,33,0.060606060606060594,0.0202020202020202,2.2,0.7423685817106696,0.0161678791046142
34,DQN_language__training_results,10,34,0.06470588235294118,0.02183437005031381,2.3,0.8034647195462632,0.013122797012329102
35,DQN_language__training_results,10,35,0.06571428571428571,0.022956134844178955,2.5,0.8724168218868267,0.00906729698181145
36,DQN_language__training_results,10,36,0.06944444444444445,0.024233800607967405,2.5,0.8724168218868267,0.01107978820800775
37,DQN_language__training_results,10,37,0.06756756756756757,0.02357883302396829,2.6,0.8844332774281066,0.0161346197128295
38,DQN_language__training_results,10,38,0.06842105263157894,0.02327455993231859,2.7,0.9073771725877466,0.01108539104461665
39,DQN_language__training_results,10,39,0.06923076923076923,0.023266081348403758,2.9,0.9938701010583715,0.009592413902282701
40,DQN_language__training_results,10,40,0.0725,0.024846752526459293,2.9,0.9938701010583715,0.01260006427764885
41,DQN_language__training_results,10,41,0.07073170731707316,0.0242407341721554,3.1,1.0588253449512395,0.0141222476959228
42,DQN_language__training_results,10,42,0.0738095238095238,0.025210127260743793,3.3,1.145522685162639,0.01566278934478755
43,DQN_language__training_results,10,43,0.07674418604651163,0.02664006244564276,3.5,1.249444320932754,0.01057672500610345
44,DQN_language__training_results,10,44,0.07954545454545454,0.028396461839380778,3.5,1.249444320932754,0.02616643905639645
45,DQN_language__training_results,10,45,0.07777777777777778,0.027765429354061198,3.6,1.2927146286443543,0.0192155838012695
46,DQN_language__training_results,10,46,0.07826086956521738,0.02810249192705118,3.7,1.2653501930734867,0.00909042358398435
47,DQN_language__training_results,10,47,0.07872340425531915,0.026922344533478443,3.7,1.2653501930734867,0.008048415184020951
48,DQN_language__training_results,10,48,0.07708333333333334,0.026361462355697647,3.8,1.2454361128179603,0.0130912065505981
49,DQN_language__training_results,10,49,0.07755102040816328,0.025417063526897148,3.9,1.2151817422372122,0.0130512714385986
50,DQN_language__training_results,10,50,0.078,0.024303634844744244,3.9,1.2151817422372122,0.0156188011169433
51,DQN_language__training_results,10,51,0.07647058823529412,0.02382709298504338,4.2,1.2806248474865698,0.020195722579956
52,DQN_language__training_results,10,52,0.08076923076923079,0.024627400913203264,4.3,1.2653501930734867,0.01408874988555905
53,DQN_language__training_results,10,53,0.08113207547169811,0.023874531944782774,4.4,1.2400716825158846,0.01210486888885495
54,DQN_language__training_results,10,54,0.08148148148148147,0.022964290416960832,4.6,1.3097921802925665,0.016125559806823703
55,DQN_language__training_results,10,55,0.08363636363636365,0.023814403278046667,4.8,1.3063945294843617,0.0261851549148559
56,DQN_language__training_results,10,56,0.08571428571428572,0.02332847374079217,4.8,1.3063945294843617,0.01362514495849605
57,DQN_language__training_results,10,57,0.08421052631578947,0.022919202271655465,5.0,1.3165611772087664,0.01509475708007805
58,DQN_language__training_results,10,58,0.08620689655172413,0.02269933064153046,5.1,1.345362404707371,0.010591268539428648
59,DQN_language__training_results,10,59,0.08644067796610169,0.022802752622158827,5.3,1.3503086067019396,0.0337927341461181
60,DQN_language__training_results,10,60,0.08833333333333333,0.022505143445032322,5.7,1.4609738000540748,0.021631717681884703
61,DQN_language__training_results,10,61,0.09344262295081966,0.0239503901648209,6.2,1.5114378731672844,0.018687963485717753
62,DQN_language__training_results,10,62,0.1,0.024378030212375557,6.3,1.5567059238447487,0.0197367668151855
63,DQN_language__training_results,10,63,0.1,0.024709617838805535,6.7,1.7130220210039462,0.0160744190216064
64,DQN_language__training_results,10,64,0.1046875,0.02676596907818666,7.0,1.757523510195209,0.0226291418075561
65,DQN_language__training_results,10,65,0.10769230769230771,0.027038823233772446,7.4,1.7397317800933185,0.0433391332626342
66,DQN_language__training_results,10,66,0.11212121212121211,0.026359572425656338,7.6,1.7587874611030558,0.022214770317077602
67,DQN_language__training_results,10,67,0.11343283582089551,0.026250559120941135,7.7,1.74515201502779,0.0146468877792358
68,DQN_language__training_results,10,68,0.11323529411764706,0.025664000220996908,8.0,1.7511900715418263,0.00872492790222165
69,DQN_language__training_results,10,69,0.11594202898550725,0.025379566254229366,8.3,1.7387735140993301,0.01108860969543455
70,DQN_language__training_results,10,70,0.11857142857142858,0.02483962162999043,8.5,1.7716909687891083,0.01560640335083005
71,DQN_language__training_results,10,71,0.11971830985915491,0.024953393926607156,8.7,1.8076995817274997,0.0241568088531494
72,DQN_language__training_results,10,72,0.12083333333333332,0.025106938635104162,9.0,1.795054935711501,0.0206077098846435
73,DQN_language__training_results,10,73,0.12328767123287669,0.02458979363988358,9.2,1.8184242262647805,0.017085075378417948
74,DQN_language__training_results,10,74,0.12432432432432432,0.024573300354929467,9.3,1.7953644012660308,0.022602558135986252
75,DQN_language__training_results,10,75,0.124,0.02393819201688041,9.8,1.8666666666666665,0.02869236469268795
76,DQN_language__training_results,10,76,0.12894736842105262,0.024561403508771926,10.2,1.9310331143946984,0.03424584865570065
77,DQN_language__training_results,10,77,0.13246753246753246,0.025078352134996082,10.3,1.8976593769987042,0.0433505773544311
78,DQN_language__training_results,10,78,0.13205128205128208,0.02432896637177826,10.7,1.9496438421186344,0.024742841720581
79,DQN_language__training_results,10,79,0.13544303797468354,0.02467903597618525,11.1,1.9519221295943132,0.0286482572555542
80,DQN_language__training_results,10,80,0.13874999999999998,0.024399026619928918,11.2,1.987740202116743,0.01908946037292475
