,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_language__training_results,10,0,,,0.1,0.09999999999999999,0.00252866744995115
1,Qlearntab_language__training_results,10,1,0.1,0.09999999999999999,0.1,0.09999999999999999,0.00199997425079345
2,Qlearntab_language__training_results,10,2,0.05,0.049999999999999996,0.1,0.09999999999999999,0.0050277709960937
3,Qlearntab_language__training_results,10,3,0.03333333333333333,0.033333333333333326,0.1,0.09999999999999999,0.0025018453598022
4,Qlearntab_language__training_results,10,4,0.025,0.024999999999999998,0.1,0.09999999999999999,0.0039999485015869
5,Qlearntab_language__training_results,10,5,0.02,0.019999999999999997,0.1,0.09999999999999999,0.0025008916854858
6,Qlearntab_language__training_results,10,6,0.016666666666666666,0.016666666666666663,0.1,0.09999999999999999,0.00502598285675045
7,Qlearntab_language__training_results,10,7,0.014285714285714285,0.014285714285714282,0.1,0.09999999999999999,0.00399494171142575
8,Qlearntab_language__training_results,10,8,0.0125,0.012499999999999999,0.2,0.13333333333333333,0.0035324096679686997
9,Qlearntab_language__training_results,10,9,0.02222222222222222,0.014814814814814812,0.2,0.13333333333333333,0.00354909896850585
10,Qlearntab_language__training_results,10,10,0.02,0.013333333333333336,0.2,0.13333333333333333,0.0025004148483276003
11,Qlearntab_language__training_results,10,11,0.01818181818181818,0.012121212121212121,0.2,0.13333333333333333,0.0029987096786498503
12,Qlearntab_language__training_results,10,12,0.016666666666666666,0.011111111111111112,0.2,0.13333333333333333,0.0060323476791381
13,Qlearntab_language__training_results,10,13,0.015384615384615385,0.010256410256410256,0.2,0.13333333333333333,0.00350248813629145
14,Qlearntab_language__training_results,10,14,0.014285714285714285,0.009523809523809523,0.2,0.13333333333333333,0.00400125980377195
15,Qlearntab_language__training_results,10,15,0.013333333333333332,0.008888888888888887,0.2,0.13333333333333333,0.0020004510879516497
16,Qlearntab_language__training_results,10,16,0.0125,0.008333333333333333,0.3,0.15275252316519464,0.00207996368408195
17,Qlearntab_language__training_results,10,17,0.01764705882352941,0.008985442539129097,0.3,0.15275252316519464,0.0055615901947021
18,Qlearntab_language__training_results,10,18,0.016666666666666666,0.008486251286955258,0.4,0.16329931618554522,0.0035265684127807
19,Qlearntab_language__training_results,10,19,0.021052631578947368,0.0085947008518708,0.4,0.16329931618554522,0.002000093460083
20,Qlearntab_language__training_results,10,20,0.02,0.00816496580927726,0.5,0.22360679774997896,0.00500094890594475
21,Qlearntab_language__training_results,10,21,0.023809523809523808,0.010647942749998997,0.5,0.22360679774997896,0.00449919700622555
22,Qlearntab_language__training_results,10,22,0.022727272727272728,0.010163945352271771,0.5,0.22360679774997896,0.0045723915100097
23,Qlearntab_language__training_results,10,23,0.021739130434782608,0.009722034684781694,0.6,0.22110831935702666,0.0025006532669067
24,Qlearntab_language__training_results,10,24,0.024999999999999998,0.00921284663987611,0.6,0.22110831935702666,0.00404095649719235
25,Qlearntab_language__training_results,10,25,0.024,0.008844332774281066,0.6,0.22110831935702666,0.00450015068054195
26,Qlearntab_language__training_results,10,26,0.023076923076923078,0.00850416612911641,0.6,0.22110831935702666,0.0040340423583984
27,Qlearntab_language__training_results,10,27,0.02222222222222222,0.008189197013223208,0.6,0.22110831935702666,0.00403535366058345
28,Qlearntab_language__training_results,10,28,0.021428571428571425,0.00789672569132238,0.6,0.22110831935702666,0.0045324563980102
29,Qlearntab_language__training_results,10,29,0.020689655172413796,0.007624424805414711,0.6,0.22110831935702666,0.0029983520507812
30,Qlearntab_language__training_results,10,30,0.02,0.007370277311900887,0.7,0.2603416558635551,0.0035343170166015
31,Qlearntab_language__training_results,10,31,0.02258064516129032,0.008398117931082423,0.7,0.2603416558635551,0.00452959537506095
32,Qlearntab_language__training_results,10,32,0.021875,0.008135676745736098,0.7,0.2603416558635551,0.0030329227447509002
33,Qlearntab_language__training_results,10,33,0.021212121212121213,0.007889141086774399,0.7,0.2603416558635551,0.0029995441436766997
34,Qlearntab_language__training_results,10,34,0.020588235294117647,0.00765710752539868,0.7,0.2603416558635551,0.00452995300292965
35,Qlearntab_language__training_results,10,35,0.019999999999999997,0.007438333024673003,0.7,0.2603416558635551,0.0060675144195556
36,Qlearntab_language__training_results,10,36,0.019444444444444445,0.00723171266287653,0.7,0.2603416558635551,0.007069945335388151
37,Qlearntab_language__training_results,10,37,0.01891891891891892,0.0070362609692852735,0.7,0.2603416558635551,0.00803601741790765
38,Qlearntab_language__training_results,10,38,0.018421052631578946,0.0068510962069356605,0.7,0.2603416558635551,0.00606358051300045
39,Qlearntab_language__training_results,10,39,0.017948717948717947,0.006675427073424491,0.8,0.29059326290271154,0.0030007362365721997
40,Qlearntab_language__training_results,10,40,0.02,0.00726483157256779,0.9,0.27688746209726917,0.0039997100830078
41,Qlearntab_language__training_results,10,41,0.021951219512195124,0.006753352734079735,0.9,0.27688746209726917,0.0025008916854858
42,Qlearntab_language__training_results,10,42,0.02142857142857143,0.00659255862136355,0.9,0.27688746209726917,0.009076118469238201
43,Qlearntab_language__training_results,10,43,0.020930232558139535,0.0064392433045876545,0.9,0.27688746209726917,0.0065641403198242
44,Qlearntab_language__training_results,10,44,0.020454545454545454,0.006292896865847027,1.0,0.2581988897471611,0.0140621662139892
45,Qlearntab_language__training_results,10,45,0.02222222222222222,0.00573775310549247,1.0,0.2581988897471611,0.007032632827758749
46,Qlearntab_language__training_results,10,46,0.021739130434782608,0.0056130193423295895,1.0,0.2581988897471611,0.01162385940551755
47,Qlearntab_language__training_results,10,47,0.021276595744680847,0.005493593398875769,1.0,0.2581988897471611,0.0045001506805419506
48,Qlearntab_language__training_results,10,48,0.020833333333333332,0.00537914353639919,1.0,0.2581988897471611,0.008033275604248
49,Qlearntab_language__training_results,10,49,0.020408163265306124,0.005269365096880839,1.0,0.2581988897471611,0.0034997463226317995
50,Qlearntab_language__training_results,10,50,0.02,0.0051639777949432225,1.0,0.2581988897471611,0.01159620285034175
51,Qlearntab_language__training_results,10,51,0.0196078431372549,0.005062723328375708,1.0,0.2581988897471611,0.032240629196166895
52,Qlearntab_language__training_results,10,52,0.019230769230769232,0.004965363264368483,1.0,0.2581988897471611,0.00959181785583495
53,Qlearntab_language__training_results,10,53,0.01886792452830189,0.004871677165040775,1.0,0.2581988897471611,0.02263236045837395
54,Qlearntab_language__training_results,10,54,0.018518518518518517,0.004781460921243724,1.0,0.2581988897471611,0.0146851539611816
55,Qlearntab_language__training_results,10,55,0.01818181818181818,0.004694525268130202,1.0,0.2581988897471611,0.00553166866302485
56,Qlearntab_language__training_results,10,56,0.017857142857142856,0.004610694459770734,1.0,0.2581988897471611,0.0231698751449584
57,Qlearntab_language__training_results,10,57,0.017543859649122806,0.004529805083283529,1.0,0.2581988897471611,0.02766084671020505
58,Qlearntab_language__training_results,10,58,0.017241379310344827,0.004451704995640709,1.0,0.2581988897471611,0.0197168588638305
59,Qlearntab_language__training_results,10,59,0.01694915254237288,0.004376252368595951,1.0,0.2581988897471611,0.0307955741882324
60,Qlearntab_language__training_results,10,60,0.01666666666666667,0.004303314829119352,1.0,0.2581988897471611,0.022644162178039502
61,Qlearntab_language__training_results,10,61,0.01639344262295082,0.0042327686843796905,1.0,0.2581988897471611,0.01056492328643795
62,Qlearntab_language__training_results,10,62,0.016129032258064516,0.004164498221728405,1.0,0.2581988897471611,0.02068126201629635
63,Qlearntab_language__training_results,10,63,0.015873015873015872,0.004098395075351763,1.0,0.2581988897471611,0.037730097770690904
