,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_numeric_encoder__training_results,10,0,,,0.0,0.0,0.0
1,Qlearntab_numeric_encoder__training_results,10,1,0.0,0.0,0.0,0.0,0.0
2,Qlearntab_numeric_encoder__training_results,10,2,0.0,0.0,0.0,0.0,0.0
3,Qlearntab_numeric_encoder__training_results,10,3,0.0,0.0,0.0,0.0,0.0
4,Qlearntab_numeric_encoder__training_results,10,4,0.0,0.0,0.0,0.0,0.0
5,Qlearntab_numeric_encoder__training_results,10,5,0.0,0.0,0.0,0.0,0.0
6,Qlearntab_numeric_encoder__training_results,10,6,0.0,0.0,0.0,0.0,0.0
7,Qlearntab_numeric_encoder__training_results,10,7,0.0,0.0,0.0,0.0,0.0
8,Qlearntab_numeric_encoder__training_results,10,8,0.0,0.0,0.1,0.09999999999999999,0.00099933147430415
9,Qlearntab_numeric_encoder__training_results,10,9,0.01111111111111111,0.011111111111111112,0.1,0.09999999999999999,0.0
10,Qlearntab_numeric_encoder__training_results,10,10,0.01,0.009999999999999998,0.1,0.09999999999999999,0.0
11,Qlearntab_numeric_encoder__training_results,10,11,0.00909090909090909,0.009090909090909089,0.1,0.09999999999999999,0.0
12,Qlearntab_numeric_encoder__training_results,10,12,0.008333333333333333,0.008333333333333331,0.1,0.09999999999999999,0.0
13,Qlearntab_numeric_encoder__training_results,10,13,0.007692307692307693,0.007692307692307692,0.2,0.19999999999999998,0.0
14,Qlearntab_numeric_encoder__training_results,10,14,0.014285714285714285,0.014285714285714282,0.2,0.19999999999999998,0.0
15,Qlearntab_numeric_encoder__training_results,10,15,0.013333333333333332,0.01333333333333333,0.2,0.19999999999999998,0.0
16,Qlearntab_numeric_encoder__training_results,10,16,0.0125,0.012499999999999999,0.2,0.19999999999999998,0.0
17,Qlearntab_numeric_encoder__training_results,10,17,0.011764705882352941,0.011764705882352941,0.2,0.19999999999999998,0.0
18,Qlearntab_numeric_encoder__training_results,10,18,0.01111111111111111,0.011111111111111112,0.2,0.19999999999999998,0.0
19,Qlearntab_numeric_encoder__training_results,10,19,0.010526315789473684,0.010526315789473682,0.2,0.19999999999999998,0.0
20,Qlearntab_numeric_encoder__training_results,10,20,0.01,0.009999999999999998,0.2,0.19999999999999998,0.0
21,Qlearntab_numeric_encoder__training_results,10,21,0.009523809523809523,0.009523809523809523,0.3,0.21343747458109494,0.0
22,Qlearntab_numeric_encoder__training_results,10,22,0.013636363636363636,0.00970170339004977,0.3,0.21343747458109494,0.0
23,Qlearntab_numeric_encoder__training_results,10,23,0.013043478260869565,0.009279890199178041,0.3,0.21343747458109494,0.0
24,Qlearntab_numeric_encoder__training_results,10,24,0.0125,0.008893228107545623,0.3,0.21343747458109494,0.0
25,Qlearntab_numeric_encoder__training_results,10,25,0.012,0.008537498983243798,0.3,0.21343747458109494,0.0
26,Qlearntab_numeric_encoder__training_results,10,26,0.011538461538461539,0.008209133637734421,0.3,0.21343747458109494,0.0
27,Qlearntab_numeric_encoder__training_results,10,27,0.01111111111111111,0.007905091651151665,0.3,0.21343747458109494,0.0
28,Qlearntab_numeric_encoder__training_results,10,28,0.010714285714285714,0.007622766949324819,0.3,0.21343747458109494,0.0
29,Qlearntab_numeric_encoder__training_results,10,29,0.010344827586206896,0.007359912916589481,0.3,0.21343747458109494,0.0
30,Qlearntab_numeric_encoder__training_results,10,30,0.01,0.007114582486036499,0.3,0.21343747458109494,0.0
31,Qlearntab_numeric_encoder__training_results,10,31,0.00967741935483871,0.006885079825196612,0.3,0.21343747458109494,0.0
32,Qlearntab_numeric_encoder__training_results,10,32,0.009375,0.006669921080659217,0.3,0.21343747458109494,0.0
33,Qlearntab_numeric_encoder__training_results,10,33,0.00909090909090909,0.00646780226003318,0.3,0.21343747458109494,0.0
34,Qlearntab_numeric_encoder__training_results,10,34,0.008823529411764706,0.00627757278179691,0.3,0.21343747458109494,0.0
35,Qlearntab_numeric_encoder__training_results,10,35,0.008571428571428572,0.006098213559459854,0.3,0.21343747458109494,0.0
36,Qlearntab_numeric_encoder__training_results,10,36,0.008333333333333333,0.005928818738363748,0.3,0.21343747458109494,0.0
