,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,4,0.0,0.0,2.1843247413635254,"[3, 2, 0, 1, 2]",0.0,0.0
1,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,4,0.0,0.0,0.003000020980834961,"[3, 0, 3, 2, 1]",0.0,0.0
2,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,8,0.0,0.0,2.101489305496216,"[0, 3, 2, 3, 2, 3, 2, 2, 1]",0.0,0.0
3,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,12,0.0,0.0,1.3716177940368652,"[3, 3, 3, 2, 3, 0, 0, 2, 0, 1, 0, 1, 1]",0.0,0.0
4,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,6,0.0,0.0,0.004999876022338867,"[3, 2, 2, 0, 0, 2, 1]",0.0,0.0
5,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,9,0.0,0.0,0.6752274036407471,"[1, 3, 0, 0, 3, 2, 3, 2, 1, 2]",0.0,0.0
6,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,22,0.0,0.0,0.016228437423706055,"[2, 0, 3, 3, 0, 3, 0, 0, 1, 3, 1, 3, 3, 1, 1, 3, 3, 2, 2, 2, 0, 0, 1]",0.0,0.0
7,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,15,0.0,0.0,0.011108636856079102,"[3, 0, 1, 0, 3, 1, 3, 3, 3, 3, 0, 1, 3, 1, 0, 2]",0.0,0.0
8,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,3,0.0,0.0,0.0030002593994140625,"[2, 2, 1, 0]",0.0,0.0
9,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,10,0.0,0.0,0.008110761642456055,"[1, 0, 0, 0, 0, 3, 3, 3, 2, 3, 1]",0.0,0.0
10,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,7,0.0,0.0,0.004999637603759766,"[1, 3, 2, 0, 3, 1, 0, 2]",0.0,0.0
11,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,10,0.0,0.0,1.7269484996795654,"[0, 2, 2, 1, 1, 0, 0, 0, 2, 2, 2]",0.0,0.0
12,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,2,0.0,0.0,0.002999544143676758,"[1, 1, 1]",0.0,0.0
13,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,13,9,0.0,0.0,0.0060880184173583984,"[2, 3, 0, 0, 2, 2, 1, 3, 1, 2]",0.0,0.0
14,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,14,2,0.0,0.0,0.0019998550415039062,"[1, 0, 2]",0.0,0.0
15,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,15,7,0.0,0.0,0.005109310150146484,"[3, 3, 3, 1, 1, 0, 0, 1]",0.0,0.0
16,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,16,1,0.0,0.0,0.0009996891021728516,"[2, 1]",0.0,0.0
17,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,17,6,0.0,0.0,0.005000114440917969,"[2, 2, 2, 3, 2, 2, 1]",0.0,0.0
18,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,18,14,0.0,0.0,0.6143269538879395,"[1, 0, 3, 2, 0, 2, 2, 1, 1, 3, 1, 1, 3, 3, 2]",0.0,0.0
19,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,19,14,0.0,0.0,0.009095430374145508,"[3, 0, 2, 3, 0, 0, 3, 0, 3, 0, 0, 2, 2, 1, 0]",0.0,0.0
20,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,20,5,0.0,0.0,0.003000020980834961,"[1, 3, 1, 1, 2, 3]",0.0,0.0
21,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,21,1,0.0,0.0,0.0010008811950683594,"[2, 1]",0.0,0.0
22,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,22,6,0.0,0.0,0.6831319332122803,"[1, 3, 1, 1, 2, 1, 0]",0.0,0.0
23,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,23,4,0.0,0.0,0.003999471664428711,"[2, 2, 0, 3, 1]",0.0,0.0
24,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,24,4,0.0,0.0,0.0030007362365722656,"[1, 0, 1, 0, 1]",0.0,0.0
25,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,25,1,0.0,0.0,0.0011129379272460938,"[2, 1]",0.0,0.0
26,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,26,3,0.0,0.0,0.002999544143676758,"[1, 3, 1, 2]",0.0,0.0
27,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,27,2,0.0,0.0,0.002000093460083008,"[1, 1, 1]",0.0,0.0
28,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,28,3,0.0,0.0,0.002000093460083008,"[3, 3, 2, 1]",0.0,0.0
29,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,29,2,0.0,0.0,0.0021097660064697266,"[3, 2, 1]",0.0,0.0
30,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,30,4,0.0,0.0,0.0030002593994140625,"[1, 0, 0, 0, 2]",0.0,0.0
31,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,31,11,0.0,0.0,0.009107351303100586,"[2, 0, 1, 0, 0, 3, 3, 3, 1, 3, 1, 2]",0.0,0.0
32,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,32,5,0.0,0.0,0.004000186920166016,"[1, 1, 0, 0, 2, 3]",0.0,0.0
33,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,33,3,0.0,0.0,0.003000020980834961,"[3, 1, 0, 2]",0.0,0.0
34,7,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,34,13,1.0,1.0,0.6129260063171387,"[2, 0, 1, 1, 0, 3, 0, 1, 0, 2, 2, 1, 1, 2]",0.05,0.05
