,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_DQN_LLM__training_results,10,0,,,0.0,0.0,1.537846326828003
1,DefaultEng_DQN_LLM__training_results,10,1,0.0,0.0,0.0,0.0,1.136669635772705
2,DefaultEng_DQN_LLM__training_results,10,2,0.0,0.0,0.0,0.0,0.35209655761718744
3,DefaultEng_DQN_LLM__training_results,10,3,0.0,0.0,0.0,0.0,0.00104987621307365
4,DefaultEng_DQN_LLM__training_results,10,4,0.0,0.0,0.0,0.0,0.00156414508819575
5,DefaultEng_DQN_LLM__training_results,10,5,0.0,0.0,0.0,0.0,0.0025495290756224996
6,DefaultEng_DQN_LLM__training_results,10,6,0.0,0.0,0.1,0.09999999999999999,0.008535146713256801
7,DefaultEng_DQN_LLM__training_results,10,7,0.014285714285714285,0.014285714285714282,0.2,0.13333333333333333,0.0045000314712524
8,DefaultEng_DQN_LLM__training_results,10,8,0.025,0.016666666666666666,0.2,0.13333333333333333,0.009116172790527299
9,DefaultEng_DQN_LLM__training_results,10,9,0.02222222222222222,0.014814814814814812,0.3,0.21343747458109494,0.0125938653945922
10,DefaultEng_DQN_LLM__training_results,10,10,0.030000000000000006,0.021343747458109495,0.3,0.21343747458109494,0.011103630065917951
11,DefaultEng_DQN_LLM__training_results,10,11,0.02727272727272727,0.01940340678009954,0.4,0.22110831935702666,0.009572744369506801
12,DefaultEng_DQN_LLM__training_results,10,12,0.03333333333333333,0.01842569327975222,0.4,0.22110831935702666,0.0075515508651733
13,DefaultEng_DQN_LLM__training_results,10,13,0.03076923076923077,0.01700833225823282,0.4,0.22110831935702666,0.0070225000381469
14,DefaultEng_DQN_LLM__training_results,10,14,0.02857142857142857,0.01579345138264476,0.4,0.22110831935702666,0.010601043701171799
15,DefaultEng_DQN_LLM__training_results,10,15,0.026666666666666665,0.014740554623801777,0.5,0.22360679774997896,0.00761461257934565
16,DefaultEng_DQN_LLM__training_results,10,16,0.03125,0.013975424859373685,0.5,0.22360679774997896,0.0065362453460692995
17,DefaultEng_DQN_LLM__training_results,10,17,0.029411764705882353,0.013153341044116407,0.5,0.22360679774997896,0.01155579090118405
18,DefaultEng_DQN_LLM__training_results,10,18,0.02777777777777778,0.01242259987499883,0.5,0.22360679774997896,0.0106267929077148
19,DefaultEng_DQN_LLM__training_results,10,19,0.02631578947368421,0.01176877882894626,0.5,0.22360679774997896,0.00599992275238035
20,DefaultEng_DQN_LLM__training_results,10,20,0.025,0.01118033988749895,0.5,0.22360679774997896,0.00958740711212155
21,DefaultEng_DQN_LLM__training_results,10,21,0.023809523809523808,0.010647942749998997,0.5,0.22360679774997896,0.006056308746337851
22,DefaultEng_DQN_LLM__training_results,10,22,0.022727272727272728,0.010163945352271771,0.5,0.22360679774997896,0.00455462932586665
23,DefaultEng_DQN_LLM__training_results,10,23,0.021739130434782608,0.009722034684781694,0.5,0.22360679774997896,0.0061043500900268
24,DefaultEng_DQN_LLM__training_results,10,24,0.020833333333333332,0.009316949906249122,0.5,0.22360679774997896,0.00554549694061275
25,DefaultEng_DQN_LLM__training_results,10,25,0.02,0.008944271909999158,0.5,0.22360679774997896,0.00454640388488765
26,DefaultEng_DQN_LLM__training_results,10,26,0.019230769230769232,0.008600261451922268,0.5,0.22360679774997896,0.0060364007949828494
27,DefaultEng_DQN_LLM__training_results,10,27,0.018518518518518517,0.008281733249999219,0.6,0.22110831935702666,0.0050278902053832505
28,DefaultEng_DQN_LLM__training_results,10,28,0.021428571428571425,0.00789672569132238,0.6,0.22110831935702666,0.005558609962463349
29,DefaultEng_DQN_LLM__training_results,10,29,0.020689655172413796,0.007624424805414711,0.6,0.22110831935702666,0.0070000886917114
30,DefaultEng_DQN_LLM__training_results,10,30,0.019999999999999997,0.0073702773119008885,0.6,0.22110831935702666,0.00350010395050045
31,DefaultEng_DQN_LLM__training_results,10,31,0.01935483870967742,0.007132526430871828,0.8,0.3265986323710904,0.0055577754974365
32,DefaultEng_DQN_LLM__training_results,10,32,0.025,0.010206207261596574,0.8,0.3265986323710904,0.00452554225921625
33,DefaultEng_DQN_LLM__training_results,10,33,0.024242424242424242,0.009896928253669408,0.8,0.3265986323710904,0.00450110435485835
34,DefaultEng_DQN_LLM__training_results,10,34,0.023529411764705885,0.00960584212856148,0.8,0.3265986323710904,0.0045312643051147
35,DefaultEng_DQN_LLM__training_results,10,35,0.02285714285714286,0.009331389496316869,0.8,0.3265986323710904,0.00302505493164055
36,DefaultEng_DQN_LLM__training_results,10,36,0.022222222222222227,0.009072184232530289,0.9,0.3144660377352201,0.00655424594879145
37,DefaultEng_DQN_LLM__training_results,10,37,0.024324324324324326,0.008499082100951896,0.9,0.3144660377352201,0.00299966335296625
38,DefaultEng_DQN_LLM__training_results,10,38,0.023684210526315787,0.008275422045663687,0.9,0.3144660377352201,0.00456237792968745
39,DefaultEng_DQN_LLM__training_results,10,39,0.02307692307692307,0.008063231736800515,0.9,0.3144660377352201,0.00505888462066645
40,DefaultEng_DQN_LLM__training_results,10,40,0.0225,0.007861650943380502,1.0,0.3333333333333333,0.0040333271026611
41,DefaultEng_DQN_LLM__training_results,10,41,0.024390243902439025,0.008130081300813009,1.1,0.40688518719112343,0.00553357601165765
42,DefaultEng_DQN_LLM__training_results,10,42,0.026190476190476188,0.009687742552169604,1.1,0.40688518719112343,0.0029985904693603
43,DefaultEng_DQN_LLM__training_results,10,43,0.025581395348837205,0.009462446213747058,1.1,0.40688518719112343,0.0040870904922485005
44,DefaultEng_DQN_LLM__training_results,10,44,0.025,0.009247390617980078,1.1,0.40688518719112343,0.0045326948165893
45,DefaultEng_DQN_LLM__training_results,10,45,0.024444444444444446,0.009041893048691633,1.2,0.4422166387140532,0.00300014019012445
46,DefaultEng_DQN_LLM__training_results,10,46,0.02608695652173913,0.00961340518943594,1.2,0.4422166387140532,0.0060000419616699
47,DefaultEng_DQN_LLM__training_results,10,47,0.02553191489361702,0.009408864653490496,1.2,0.4422166387140532,0.0035511255264282
48,DefaultEng_DQN_LLM__training_results,10,48,0.025,0.00921284663987611,1.3,0.5174724898753341,0.00350010395050045
49,DefaultEng_DQN_LLM__training_results,10,49,0.026530612244897955,0.010560663058680286,1.4,0.5999999999999998,0.00310838222503655
50,DefaultEng_DQN_LLM__training_results,10,50,0.028000000000000004,0.011999999999999999,1.5,0.6871842709362768,0.0040572881698608
51,DefaultEng_DQN_LLM__training_results,10,51,0.02941176470588235,0.013474201390907388,1.5,0.6871842709362768,0.0035294294357299
52,DefaultEng_DQN_LLM__training_results,10,52,0.028846153846153844,0.013215082133389938,1.5,0.6871842709362768,0.00303208827972405
53,DefaultEng_DQN_LLM__training_results,10,53,0.02830188679245283,0.012965740961061826,1.6,0.77746025264604,0.0035004615783691
54,DefaultEng_DQN_LLM__training_results,10,54,0.029629629629629627,0.01439741208603778,1.8,0.8919392106839766,0.0035445690155029
55,DefaultEng_DQN_LLM__training_results,10,55,0.03272727272727273,0.016217076557890488,1.8,0.8919392106839766,0.0030000209808349002
56,DefaultEng_DQN_LLM__training_results,10,56,0.03214285714285714,0.015927485905071013,1.9,0.9826268648655783,0.0050507783889770005
57,DefaultEng_DQN_LLM__training_results,10,57,0.03333333333333333,0.017239067804659267,1.9,0.9826268648655783,0.00399982929229735
58,DefaultEng_DQN_LLM__training_results,10,58,0.03275862068965517,0.016941842497682384,2.1,1.1,0.0035825967788696
59,DefaultEng_DQN_LLM__training_results,10,59,0.03559322033898305,0.01864406779661017,2.2,1.1907047399661168,0.004552841186523399
60,DefaultEng_DQN_LLM__training_results,10,60,0.03666666666666667,0.019845078999435276,2.2,1.1907047399661168,0.0030004978179931
61,DefaultEng_DQN_LLM__training_results,10,61,0.03606557377049181,0.019519749835510112,2.4,1.2754084313139327,0.00506353378295895
62,DefaultEng_DQN_LLM__training_results,10,62,0.03870967741935484,0.02057110373086988,2.7,1.3908430696683378,0.0050002336502075004
63,DefaultEng_DQN_LLM__training_results,10,63,0.04285714285714286,0.022076874121719638,2.8,1.4817407180595241,0.00454246997833245
64,DefaultEng_DQN_LLM__training_results,10,64,0.04375,0.023152198719680064,2.9,1.5737428845483834,0.00353527069091795
65,DefaultEng_DQN_LLM__training_results,10,65,0.04461538461538462,0.024211428993052054,3.0,1.6666666666666665,0.0045295953750610005
66,DefaultEng_DQN_LLM__training_results,10,66,0.045454545454545456,0.02525252525252525,3.2,1.781385228784985,0.0065743923187255
67,DefaultEng_DQN_LLM__training_results,10,67,0.04776119402985075,0.026587839235596787,3.4,1.8985374487864188,0.00403463840484615
68,DefaultEng_DQN_LLM__training_results,10,68,0.05,0.027919668364506156,3.6,2.0176994600562073,0.004542589187622
69,DefaultEng_DQN_LLM__training_results,10,69,0.05217391304347826,0.029242021160234888,3.7,2.0496612186190943,0.0060346126556396
70,DefaultEng_DQN_LLM__training_results,10,70,0.05285714285714286,0.029280874551701346,3.8,2.037427571991483,0.0045756101608276
71,DefaultEng_DQN_LLM__training_results,10,71,0.05352112676056338,0.028696162985795543,4.0,2.065591117977289,0.00399982929229735
72,DefaultEng_DQN_LLM__training_results,10,72,0.05555555555555556,0.028688765527462346,4.1,2.1522597943143906,0.0030457973480224002
73,DefaultEng_DQN_LLM__training_results,10,73,0.05616438356164383,0.029483010881019043,4.3,2.275717225159771,0.00408136844635005
74,DefaultEng_DQN_LLM__training_results,10,74,0.05810810810810811,0.03075293547513204,4.5,2.400231470319292,0.00355124473571775
75,DefaultEng_DQN_LLM__training_results,10,75,0.06,0.032003086270923894,4.8,2.520141089524773,0.0055804252624511
76,DefaultEng_DQN_LLM__training_results,10,76,0.06315789473684211,0.03315975117795754,4.8,2.520141089524773,0.0040388107299804
77,DefaultEng_DQN_LLM__training_results,10,77,0.062337662337662345,0.03272910505876329,5.1,2.643440519054245,0.0055683851242065
78,DefaultEng_DQN_LLM__training_results,10,78,0.06538461538461539,0.03389026306479802,5.3,2.769075256792017,0.0045526027679443
79,DefaultEng_DQN_LLM__training_results,10,79,0.0670886075949367,0.03505158552901287,5.5,2.8953986484305285,0.00406682491302485
80,DefaultEng_DQN_LLM__training_results,10,80,0.06875,0.03619248310538161,5.6,2.978441053825157,0.0030585527420043503
81,DefaultEng_DQN_LLM__training_results,10,81,0.06913580246913578,0.03677087720771799,5.7,3.0223243446798436,0.00403189659118645
82,DefaultEng_DQN_LLM__training_results,10,82,0.06951219512195123,0.03685761395951029,5.9,3.0892285984260424,0.0040766000747680005
83,DefaultEng_DQN_LLM__training_results,10,83,0.07108433734939759,0.03721962166778365,6.1,3.216105305075276,0.0035004615783691
84,DefaultEng_DQN_LLM__training_results,10,84,0.07261904761904762,0.0382869679175628,6.3,3.1904370999737464,0.0050718784332275
85,DefaultEng_DQN_LLM__training_results,10,85,0.07411764705882354,0.03753455411733819,6.6,3.3072311346166563,0.00600039958953855
86,DefaultEng_DQN_LLM__training_results,10,86,0.0767441860465116,0.038456175983914605,6.9,3.423610829389216,0.0044997930526733
87,DefaultEng_DQN_LLM__training_results,10,87,0.07931034482758621,0.039351848613669145,7.0,3.505551153369308,0.00453984737396235
88,DefaultEng_DQN_LLM__training_results,10,88,0.07954545454545454,0.039835808561014874,7.1,3.55105618091294,0.00606811046600335
89,DefaultEng_DQN_LLM__training_results,10,89,0.0797752808988764,0.039899507650707204,7.3,3.624147409314975,0.00350022315979
90,DefaultEng_DQN_LLM__training_results,10,90,0.0811111111111111,0.04026830454794417,7.4,3.6703012289335475,0.00455951690673825
91,DefaultEng_DQN_LLM__training_results,10,91,0.08131868131868132,0.040332980537731294,7.6,3.7124415446202272,0.0035004615783691
92,DefaultEng_DQN_LLM__training_results,10,92,0.08260869565217391,0.04035262548500248,7.8,3.8407175255557533,0.0045803785324096
93,DefaultEng_DQN_LLM__training_results,10,93,0.08387096774193548,0.041298037909201654,8.0,3.8873012632302,0.00600087642669675
94,DefaultEng_DQN_LLM__training_results,10,94,0.0851063829787234,0.04135426875776808,8.3,4.014003266344239,0.00607514381408685
95,DefaultEng_DQN_LLM__training_results,10,95,0.08736842105263158,0.04225266596151831,8.5,4.06680327639399,0.00606739521026605
96,DefaultEng_DQN_LLM__training_results,10,96,0.08854166666666666,0.04236253412910406,8.8,4.197353663652585,0.004552245140075651
97,DefaultEng_DQN_LLM__training_results,10,97,0.09072164948453607,0.04327168725415036,9.1,4.329357150124407,0.0050278902053832505
98,DefaultEng_DQN_LLM__training_results,10,98,0.09285714285714287,0.04417711377677967,9.3,4.389507691960202,0.00505459308624265
99,DefaultEng_DQN_LLM__training_results,10,99,0.09393939393939395,0.04433846153495154,9.6,4.52450120025524,0.0040336847305297505
100,DefaultEng_DQN_LLM__training_results,10,100,0.096,0.045245012002552404,9.8,4.651881339845203,0.004000186920166
101,DefaultEng_DQN_LLM__training_results,10,101,0.098,0.046518813398452034,10.1,4.787599723359411,0.0040560960769653
102,DefaultEng_DQN_LLM__training_results,10,102,0.101,0.047875997233594106,10.4,4.92431608336517,0.00707113742828365
103,DefaultEng_DQN_LLM__training_results,10,103,0.10400000000000001,0.0492431608336517,10.8,5.046010525377669,0.00509130954742425
104,DefaultEng_DQN_LLM__training_results,10,104,0.10800000000000001,0.050460105253776685,11.2,5.17214763044435,0.006499409675598099
105,DefaultEng_DQN_LLM__training_results,10,105,0.11200000000000002,0.0517214763044435,11.5,5.310890278998008,0.0045828819274902
106,DefaultEng_DQN_LLM__training_results,10,106,0.11500000000000002,0.05310890278998009,11.9,5.435377938408085,0.00652837753295895
107,DefaultEng_DQN_LLM__training_results,10,107,0.11800000000000002,0.053661490433601966,12.0,5.491407429389624,0.00500118732452385
108,DefaultEng_DQN_LLM__training_results,10,108,0.11800000000000002,0.05440179735592892,12.3,5.631360601330926,0.0040366649627685
109,DefaultEng_DQN_LLM__training_results,10,109,0.121,0.05580621231846265,12.6,5.771962885843563,0.006999731063842701
110,DefaultEng_DQN_LLM__training_results,10,110,0.123,0.056549879654061934,12.9,5.913167979649788,0.0065337419509887504
111,DefaultEng_DQN_LLM__training_results,10,111,0.12600000000000003,0.057969340555542315,13.2,6.054933709151753,0.004999518394470151
112,DefaultEng_DQN_LLM__training_results,10,112,0.128,0.05955016559357514,13.4,6.17917650032933,0.00550067424774165
113,DefaultEng_DQN_LLM__training_results,10,113,0.13,0.06079108121719464,13.5,6.197221599681227,0.0055434703826904
114,DefaultEng_DQN_LLM__training_results,10,114,0.131,0.060981782343399724,13.9,6.325345840347389,0.0065339803695678
115,DefaultEng_DQN_LLM__training_results,10,115,0.135,0.06225842200948487,14.1,6.448858641478953,0.0055381059646606
116,DefaultEng_DQN_LLM__training_results,10,116,0.136,0.06363437226321426,14.5,6.5781625262851495,0.0055570602416992
117,DefaultEng_DQN_LLM__training_results,10,117,0.14,0.0649273097822138,14.8,6.721111019268565,0.00802993774414055
118,DefaultEng_DQN_LLM__training_results,10,118,0.14300000000000002,0.06636682571553017,15.1,6.864481853068818,0.00703573226928705
119,DefaultEng_DQN_LLM__training_results,10,119,0.14600000000000002,0.0678101926130742,15.3,6.987369557518289,0.0035831928253173004
120,DefaultEng_DQN_LLM__training_results,10,120,0.14800000000000002,0.06903783181866463,15.6,7.130840685984288,0.00499999523162835
121,DefaultEng_DQN_LLM__training_results,10,121,0.15100000000000002,0.07048167610568486,15.7,7.188030173683035,0.0041002035140991
122,DefaultEng_DQN_LLM__training_results,10,122,0.15200000000000002,0.07106804251326096,15.9,7.311254642292554,0.0049998760223388
123,DefaultEng_DQN_LLM__training_results,10,123,0.154,0.07229876286017009,16.3,7.441699328035829,0.00457799434661865
124,DefaultEng_DQN_LLM__training_results,10,124,0.158,0.0736025361881867,16.5,7.564904346902066,0.00450015068054195
125,DefaultEng_DQN_LLM__training_results,10,125,0.16,0.07483314773547882,16.7,7.643515770464094,0.00554454326629635
126,DefaultEng_DQN_LLM__training_results,10,126,0.16199999999999998,0.07564243371136188,17.2,7.757147241952632,0.0074998140335082505
127,DefaultEng_DQN_LLM__training_results,10,127,0.16699999999999998,0.07676877258654356,17.4,7.843185293970527,0.0050843954086303
128,DefaultEng_DQN_LLM__training_results,10,128,0.16799999999999998,0.07703967231959849,17.7,7.987559771989885,0.00503444671630855
129,DefaultEng_DQN_LLM__training_results,10,129,0.17099999999999999,0.07849203781276161,17.9,8.075270893288968,0.0044995546340942
130,DefaultEng_DQN_LLM__training_results,10,130,0.173,0.07937323926306089,18.1,8.19681509964558,0.0040814876556396
131,DefaultEng_DQN_LLM__training_results,10,131,0.175,0.08058466906855725,18.4,8.341595903795762,0.0035856962203979
132,DefaultEng_DQN_LLM__training_results,10,132,0.176,0.08154344445345275,18.6,8.463253905364452,0.00455582141876215
