,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_DQN_language__training_results,10,0,,,0.0,0.0,0.00155127048492425
1,DefaultEng_DQN_language__training_results,10,1,0.0,0.0,0.0,0.0,0.0011030435562133498
2,DefaultEng_DQN_language__training_results,10,2,0.0,0.0,0.0,0.0,0.0010000467300414501
3,DefaultEng_DQN_language__training_results,10,3,0.0,0.0,0.0,0.0,0.001500129699707
4,DefaultEng_DQN_language__training_results,10,4,0.0,0.0,0.0,0.0,0.00199997425079345
5,DefaultEng_DQN_language__training_results,10,5,0.0,0.0,0.2,0.13333333333333333,0.0019998550415039
6,DefaultEng_DQN_language__training_results,10,6,0.03333333333333333,0.022222222222222223,0.3,0.15275252316519464,0.00105357170104975
7,DefaultEng_DQN_language__training_results,10,7,0.04285714285714286,0.02182178902359924,0.3,0.15275252316519464,0.00253880023956295
8,DefaultEng_DQN_language__training_results,10,8,0.0375,0.01909406539564933,0.3,0.15275252316519464,0.0035377740859985
9,DefaultEng_DQN_language__training_results,10,9,0.03333333333333333,0.016972502573910517,0.4,0.22110831935702666,0.0045320987701415495
10,DefaultEng_DQN_language__training_results,10,10,0.04,0.022110831935702662,0.4,0.22110831935702666,0.0060454607009887
11,DefaultEng_DQN_language__training_results,10,11,0.03636363636363636,0.02010075630518424,0.4,0.22110831935702666,0.00759601593017575
12,DefaultEng_DQN_language__training_results,10,12,0.03333333333333333,0.01842569327975222,0.4,0.22110831935702666,0.01107716560363765
13,DefaultEng_DQN_language__training_results,10,13,0.03076923076923077,0.01700833225823282,0.5,0.26874192494328497,0.008039951324462849
14,DefaultEng_DQN_language__training_results,10,14,0.03571428571428571,0.019195851781663213,0.5,0.26874192494328497,0.0126148462295532
15,DefaultEng_DQN_language__training_results,10,15,0.03333333333333334,0.01791612832955233,0.5,0.26874192494328497,0.01063728332519525
16,DefaultEng_DQN_language__training_results,10,16,0.03125,0.01679637030895531,0.6,0.26666666666666666,0.01258921623229975
17,DefaultEng_DQN_language__training_results,10,17,0.03529411764705882,0.01568627450980392,0.6,0.26666666666666666,0.0054998397827148
18,DefaultEng_DQN_language__training_results,10,18,0.03333333333333333,0.014814814814814815,0.6,0.26666666666666666,0.0140856504440307
19,DefaultEng_DQN_language__training_results,10,19,0.031578947368421054,0.014035087719298246,0.6,0.26666666666666666,0.00607633590698235
20,DefaultEng_DQN_language__training_results,10,20,0.030000000000000006,0.013333333333333336,0.7,0.334995854037363,0.0071017742156982006
21,DefaultEng_DQN_language__training_results,10,21,0.03333333333333333,0.015952183525588713,0.9,0.348010216963685,0.0181235074996948
22,DefaultEng_DQN_language__training_results,10,22,0.04090909090909091,0.015818646225622044,1.0,0.42163702135578385,0.011618137359619099
23,DefaultEng_DQN_language__training_results,10,23,0.043478260869565216,0.01833204440677321,1.0,0.42163702135578385,0.0201848745346069
24,DefaultEng_DQN_language__training_results,10,24,0.041666666666666664,0.017568209223157664,1.1,0.43333333333333335,0.01160252094268795
25,DefaultEng_DQN_language__training_results,10,25,0.044,0.017333333333333333,1.2,0.5120763831912406,0.01112174987792965
26,DefaultEng_DQN_language__training_results,10,26,0.046153846153846156,0.019695245507355404,1.2,0.5120763831912406,0.017159700393676702
27,DefaultEng_DQN_language__training_results,10,27,0.04444444444444444,0.018965791970045946,1.3,0.5385164807134504,0.02021157741546625
28,DefaultEng_DQN_language__training_results,10,28,0.04642857142857143,0.0192327314540518,1.3,0.5385164807134504,0.0070329904556274
29,DefaultEng_DQN_language__training_results,10,29,0.04482758620689655,0.018569533817705184,1.5,0.6009252125773316,0.019173383712768548
30,DefaultEng_DQN_language__training_results,10,30,0.05,0.020030840419244387,1.6,0.6,0.0166423320770263
31,DefaultEng_DQN_language__training_results,10,31,0.05161290322580645,0.019354838709677417,1.7,0.5783117190965824,0.00860965251922605
32,DefaultEng_DQN_language__training_results,10,32,0.053125,0.0180722412217682,1.8,0.6633249580710799,0.016639828681945752
33,DefaultEng_DQN_language__training_results,10,33,0.05454545454545454,0.020100756305184243,1.9,0.6741249472052228,0.0231742858886718
34,DefaultEng_DQN_language__training_results,10,34,0.05588235294117647,0.019827204329565376,1.9,0.6741249472052228,0.009081482887268049
35,DefaultEng_DQN_language__training_results,10,35,0.05428571428571429,0.019260712777292077,2.0,0.6497862896539309,0.0130972862243652
36,DefaultEng_DQN_language__training_results,10,36,0.05555555555555556,0.018049619157053633,2.1,0.6741249472052228,0.012092113494873
37,DefaultEng_DQN_language__training_results,10,37,0.05675675675675675,0.018219593167708725,2.2,0.7571877794400365,0.0151407718658447
38,DefaultEng_DQN_language__training_results,10,38,0.057894736842105256,0.01992599419579043,2.4,0.8192137151629671,0.0100786685943603
39,DefaultEng_DQN_language__training_results,10,39,0.06153846153846153,0.02100547987597352,2.4,0.8192137151629671,0.0121364593505859
40,DefaultEng_DQN_language__training_results,10,40,0.06,0.020480342879074177,2.6,0.9213516640723503,0.0085467100143432
41,DefaultEng_DQN_language__training_results,10,41,0.06341463414634146,0.022471991806642687,2.8,1.0088497300281036,0.0074999332427978
42,DefaultEng_DQN_language__training_results,10,42,0.06666666666666667,0.024020231667335804,2.8,1.0088497300281036,0.012158274650573701
43,DefaultEng_DQN_language__training_results,10,43,0.06511627906976744,0.023461621628560553,2.8,1.0088497300281036,0.01412284374237055
