,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_Qlearntab_LLM__training_results,10,0,,,0.1,0.09999999999999999,1.841015100479126
1,DefaultEng_Qlearntab_LLM__training_results,10,1,0.1,0.09999999999999999,0.1,0.09999999999999999,1.6036887168884277
2,DefaultEng_Qlearntab_LLM__training_results,10,2,0.05,0.049999999999999996,0.1,0.09999999999999999,1.1404106616973877
3,DefaultEng_Qlearntab_LLM__training_results,10,3,0.03333333333333333,0.033333333333333326,0.1,0.09999999999999999,0.5906591415405273
4,DefaultEng_Qlearntab_LLM__training_results,10,4,0.025,0.024999999999999998,0.1,0.09999999999999999,0.8008842468261719
5,DefaultEng_Qlearntab_LLM__training_results,10,5,0.02,0.019999999999999997,0.1,0.09999999999999999,0.004000186920166
6,DefaultEng_Qlearntab_LLM__training_results,10,6,0.016666666666666666,0.016666666666666663,0.1,0.09999999999999999,0.00665056705474845
7,DefaultEng_Qlearntab_LLM__training_results,10,7,0.014285714285714285,0.014285714285714282,0.1,0.09999999999999999,0.0045523643493652
8,DefaultEng_Qlearntab_LLM__training_results,10,8,0.0125,0.012499999999999999,0.1,0.09999999999999999,0.0084990262985229
9,DefaultEng_Qlearntab_LLM__training_results,10,9,0.01111111111111111,0.011111111111111112,0.1,0.09999999999999999,0.00658762454986565
10,DefaultEng_Qlearntab_LLM__training_results,10,10,0.01,0.009999999999999998,0.1,0.09999999999999999,0.0039998292922973
11,DefaultEng_Qlearntab_LLM__training_results,10,11,0.00909090909090909,0.009090909090909089,0.1,0.09999999999999999,0.007056832313537551
12,DefaultEng_Qlearntab_LLM__training_results,10,12,0.008333333333333333,0.008333333333333331,0.1,0.09999999999999999,0.0035403966903686003
13,DefaultEng_Qlearntab_LLM__training_results,10,13,0.007692307692307693,0.007692307692307692,0.1,0.09999999999999999,0.00654423236846915
14,DefaultEng_Qlearntab_LLM__training_results,10,14,0.007142857142857143,0.007142857142857141,0.1,0.09999999999999999,0.0020009279251098503
15,DefaultEng_Qlearntab_LLM__training_results,10,15,0.006666666666666666,0.006666666666666665,0.1,0.09999999999999999,0.00249981880187985
