,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_Qlearntab_language__training_results,10,0,,,0.0,0.0,0.0030263662338256498
1,DefaultEng_Qlearntab_language__training_results,10,1,0.0,0.0,0.0,0.0,0.0019998550415039
2,DefaultEng_Qlearntab_language__training_results,10,2,0.0,0.0,0.0,0.0,0.00299942493438715
3,DefaultEng_Qlearntab_language__training_results,10,3,0.0,0.0,0.0,0.0,0.00399911403656005
4,DefaultEng_Qlearntab_language__training_results,10,4,0.0,0.0,0.0,0.0,0.0055702924728393
5,DefaultEng_Qlearntab_language__training_results,10,5,0.0,0.0,0.0,0.0,0.00399935245513915
6,DefaultEng_Qlearntab_language__training_results,10,6,0.0,0.0,0.0,0.0,0.0030915737152099002
7,DefaultEng_Qlearntab_language__training_results,10,7,0.0,0.0,0.0,0.0,0.0020281076431273998
8,DefaultEng_Qlearntab_language__training_results,10,8,0.0,0.0,0.0,0.0,0.0035340785980224002
9,DefaultEng_Qlearntab_language__training_results,10,9,0.0,0.0,0.0,0.0,0.00200021266937255
10,DefaultEng_Qlearntab_language__training_results,10,10,0.0,0.0,0.0,0.0,0.0025396347045898
11,DefaultEng_Qlearntab_language__training_results,10,11,0.0,0.0,0.0,0.0,0.0030001401901245
12,DefaultEng_Qlearntab_language__training_results,10,12,0.0,0.0,0.0,0.0,0.0024999380111693998
13,DefaultEng_Qlearntab_language__training_results,10,13,0.0,0.0,0.0,0.0,0.00354266166687005
14,DefaultEng_Qlearntab_language__training_results,10,14,0.0,0.0,0.0,0.0,0.00305056571960445
15,DefaultEng_Qlearntab_language__training_results,10,15,0.0,0.0,0.0,0.0,0.0039982795715332
16,DefaultEng_Qlearntab_language__training_results,10,16,0.0,0.0,0.0,0.0,0.0029997825622558
17,DefaultEng_Qlearntab_language__training_results,10,17,0.0,0.0,0.0,0.0,0.005499362945556601
18,DefaultEng_Qlearntab_language__training_results,10,18,0.0,0.0,0.0,0.0,0.0030004978179931
19,DefaultEng_Qlearntab_language__training_results,10,19,0.0,0.0,0.0,0.0,0.00202894210815425
20,DefaultEng_Qlearntab_language__training_results,10,20,0.0,0.0,0.0,0.0,0.0035327672958373503
21,DefaultEng_Qlearntab_language__training_results,10,21,0.0,0.0,0.0,0.0,0.00255525112152095
22,DefaultEng_Qlearntab_language__training_results,10,22,0.0,0.0,0.1,0.09999999999999999,0.0030810832977294
23,DefaultEng_Qlearntab_language__training_results,10,23,0.004347826086956522,0.004347826086956521,0.1,0.09999999999999999,0.0035400390624999497
24,DefaultEng_Qlearntab_language__training_results,10,24,0.004166666666666667,0.004166666666666667,0.1,0.09999999999999999,0.00508499145507805
25,DefaultEng_Qlearntab_language__training_results,10,25,0.004,0.004,0.1,0.09999999999999999,0.0030316114425658503
26,DefaultEng_Qlearntab_language__training_results,10,26,0.0038461538461538464,0.003846153846153846,0.1,0.09999999999999999,0.0019998550415039
27,DefaultEng_Qlearntab_language__training_results,10,27,0.0037037037037037034,0.003703703703703704,0.1,0.09999999999999999,0.0020337104797363
28,DefaultEng_Qlearntab_language__training_results,10,28,0.0035714285714285713,0.0035714285714285704,0.1,0.09999999999999999,0.00403463840484615
29,DefaultEng_Qlearntab_language__training_results,10,29,0.0034482758620689655,0.0034482758620689655,0.1,0.09999999999999999,0.0025012493133544497
30,DefaultEng_Qlearntab_language__training_results,10,30,0.003333333333333333,0.0033333333333333327,0.2,0.19999999999999998,0.00349986553192135
31,DefaultEng_Qlearntab_language__training_results,10,31,0.0064516129032258064,0.006451612903225805,0.2,0.19999999999999998,0.0039998292922973
32,DefaultEng_Qlearntab_language__training_results,10,32,0.00625,0.0062499999999999995,0.2,0.19999999999999998,0.0010015964508055999
33,DefaultEng_Qlearntab_language__training_results,10,33,0.006060606060606061,0.006060606060606061,0.2,0.19999999999999998,0.0039997100830078
34,DefaultEng_Qlearntab_language__training_results,10,34,0.0058823529411764705,0.0058823529411764705,0.2,0.19999999999999998,0.0040289163589477
35,DefaultEng_Qlearntab_language__training_results,10,35,0.005714285714285714,0.005714285714285713,0.2,0.19999999999999998,0.0030497312545776003
