,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_Qlearntab_numeric_encoder__training_results,10,0,,,0.0,0.0,0.0
1,DefaultEng_Qlearntab_numeric_encoder__training_results,10,1,0.0,0.0,0.0,0.0,0.0
2,DefaultEng_Qlearntab_numeric_encoder__training_results,10,2,0.0,0.0,0.0,0.0,0.0
3,DefaultEng_Qlearntab_numeric_encoder__training_results,10,3,0.0,0.0,0.0,0.0,0.0
4,DefaultEng_Qlearntab_numeric_encoder__training_results,10,4,0.0,0.0,0.0,0.0,0.0
5,DefaultEng_Qlearntab_numeric_encoder__training_results,10,5,0.0,0.0,0.0,0.0,0.0
6,DefaultEng_Qlearntab_numeric_encoder__training_results,10,6,0.0,0.0,0.0,0.0,0.0
7,DefaultEng_Qlearntab_numeric_encoder__training_results,10,7,0.0,0.0,0.0,0.0,0.0
8,DefaultEng_Qlearntab_numeric_encoder__training_results,10,8,0.0,0.0,0.0,0.0,0.0
9,DefaultEng_Qlearntab_numeric_encoder__training_results,10,9,0.0,0.0,0.0,0.0,0.0
10,DefaultEng_Qlearntab_numeric_encoder__training_results,10,10,0.0,0.0,0.0,0.0,0.0
11,DefaultEng_Qlearntab_numeric_encoder__training_results,10,11,0.0,0.0,0.0,0.0,0.0
12,DefaultEng_Qlearntab_numeric_encoder__training_results,10,12,0.0,0.0,0.0,0.0,0.0
13,DefaultEng_Qlearntab_numeric_encoder__training_results,10,13,0.0,0.0,0.1,0.09999999999999999,0.0
14,DefaultEng_Qlearntab_numeric_encoder__training_results,10,14,0.007142857142857143,0.007142857142857142,0.1,0.09999999999999999,0.0
15,DefaultEng_Qlearntab_numeric_encoder__training_results,10,15,0.006666666666666666,0.006666666666666666,0.1,0.09999999999999999,0.0
16,DefaultEng_Qlearntab_numeric_encoder__training_results,10,16,0.00625,0.0062499999999999995,0.1,0.09999999999999999,0.0
17,DefaultEng_Qlearntab_numeric_encoder__training_results,10,17,0.0058823529411764705,0.0058823529411764705,0.1,0.09999999999999999,0.0
18,DefaultEng_Qlearntab_numeric_encoder__training_results,10,18,0.005555555555555555,0.005555555555555554,0.1,0.09999999999999999,0.0
19,DefaultEng_Qlearntab_numeric_encoder__training_results,10,19,0.005263157894736842,0.005263157894736841,0.1,0.09999999999999999,0.0
