Instruction/Experiment/Agent,Num Repeats,Number Episodes,Avg R Mean,Avg R Median,Avg R Std Error,Avg R Std Dev,Avg R Variance,Cumulative R Mean,Cumulative R Median,Cumulative R Std Error,Cumulative R Std Dev,Cumulative R Variance,Time Avg
instr/Instr_Experiment_training/DQN_language,10,10000,0.04579886250501117,0.012,0.0010835964726289035,0.10835422914507088,0.011740638973622528,383.6254,402.05,0.7952964206656989,79.52964206656989,6324.963967236724,0.010630878019332811
instr/Instr_Experiment_training/DQN_LLM,10,10000,0.7140911935696973,0.765,0.0011373954581475464,0.11373385869528237,0.012935390613718456,3371.4943400000006,3289.7,21.437589977751742,2143.758997775174,4595702.640542019,0.007557880234718242
instr/Instr_Experiment_training/DQN_numeric_encoder,10,10000,0.7237997483681555,0.789,0.001564610487950071,0.15645322554698127,0.02447761178405459,3246.7654700000003,3078.7,21.521673270745122,2152.1673270745123,4631824.203727052,0.005251609861850659
instr/Instr_Experiment_training/Qlearntab_language,10,10000,0.0004447843124135307,0.0,2.547062222718419e-05,0.0025469348664232962,6.486877213802654e-06,3.221979999999999,3.4,0.005041451138606651,0.5041451138606651,0.25416229582958294,0.038470669162273326
instr/Instr_Experiment_training/Qlearntab_LLM,10,10000,0.9744451465711158,0.995,0.0010886976148012837,0.10886431785596036,0.01185143970224357,4816.8823,4805.8,28.629539826475355,2862.9539826475357,8196505.506757385,0.002824446177482538
instr/Instr_Experiment_training/Qlearntab_numeric_encoder,10,10000,0.9730944539149601,0.995,0.0011399988813260585,0.11399418799569223,0.012994674896797223,4805.89061,4794.5,28.62156256829574,2862.156256829574,8191938.438508679,1.1204886436461319e-05
no_instr/Standard_Experiment_training/DefaultEng_DQN_language,10,10000,0.05832810780256088,0.007,0.0012021094278381733,0.12020493208640695,0.014449225697897708,464.06589,493.2,0.9915547828736111,99.1554782873611,9831.80887439534,0.009555973935127181
no_instr/Standard_Experiment_training/DefaultEng_DQN_LLM,10,10000,0.4706055018815586,0.48,0.0009366186236057069,0.09365717915036947,0.008771667206404403,2146.5608599999996,2011.6,13.92027340005789,1392.027340005789,1937740.1153235924,0.006763783836364664
no_instr/Standard_Experiment_training/DefaultEng_DQN_numeric_encoder,10,10000,0.6256321946114585,0.621,0.002575803932437243,0.25756751390207056,0.06634102421769332,2427.41087,2044.65,18.55485039513935,1855.4850395139351,3442824.731860029,0.004961164963245314
no_instr/Standard_Experiment_training/DefaultEng_Qlearntab_language,10,10000,0.0003793075240365336,0.0,1.9245469477092947e-05,0.0019244507179561052,3.7035105658417685e-06,3.43655,3.5,0.00347167322792629,0.347167322792629,0.12052515001500148,0.043851393508911055
no_instr/Standard_Experiment_training/DefaultEng_Qlearntab_LLM,10,10000,0.9802395320896498,0.996,0.0010313547303520405,0.1031303161326265,0.010635862105615485,4867.33565,4862.6,28.724046440214476,2872.4046440214474,8250708.438995978,0.003527925312518989
no_instr/Standard_Experiment_training/DefaultEng_Qlearntab_numeric_encoder,10,10000,0.9756262501632018,0.996,0.00119380935192727,0.11937496599673374,0.014250382506721337,4822.81301,4817.0,28.717485024092635,2871.7485024092634,8246939.461089849,1.1546123027800432e-05
